CNT,CNTSCHID,REGION,STRATUM,LOC,COMP,SCSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,STUBI,TEABI,RESSI,STAFI,total_homework_time,CPERIODS,SCIENCE,READING,MATH,mean_reading_attitude,mean_science_attitude,mean_math_attitude
CZE,20300061,20300,CZE11,0,1,394,199,195,13.5862,29,2,2,1,2.5,1.5714285714285714,33.857142857142854,477.13432857142857,450.7828714285714,454.27358571428573,2.4761904761904763,2.8095238095238098,2.8095238095238093
CZE,20300062,20300,CZE29,1,1,471,182,289,12.56,37.5,1.2,1.2,2.5,1.5,3.2,30.5,612.23999,596.41605,607.94597,2.9,2.8666666666666667,2.6666666666666665
CZE,20300063,20300,CZE25,1,1,631,232,399,11.4727,55,1.2,1.6,1,1.25,1.7777777777777777,40.333333333333336,579.3217444444444,584.4184333333334,610.4852222222222,2.925925925925926,2.962962962962963,2.851851851851852
CZE,20300064,20300,CZE03,1,1,706,382,324,14.12,50,2.2,1.6,3.5,2.5,2.5,28.22222222222222,467.09535555555556,457.56585,455.5864222222222,2.8333333333333335,2.611111111111111,2.351851851851852
CZE,20300065,20300,CZE08,0,1,117,66,51,8.6667,13.5,1.6,1.2,1,1.5,2.5,31,600.656725,621.750025,574.44195,2.5833333333333335,2.5,2.916666666666667
CZE,20300066,20300,CZE18,0,1,312,198,114,12.2353,25.5,1.8,2,1,1.25,2.0833333333333335,30,617.9397916666667,627.5493916666667,587.8674125,2.9305555555555554,2.611111111111111,2.763888888888889
CZE,20300067,20300,CZE09,1,1,520,277,243,18.2456,28.5,1,1,1,1,2,32,542.0284583333333,524.4717583333334,531.7964583333334,2.638888888888889,2.9166666666666665,2.6944444444444446
CZE,20300068,20300,CZE31,0,2,NA,NA,NA,NA,23,1.8,2.2,3,2.75,2.6666666666666665,28.666666666666668,403.46393333333333,444.1829,390.2899333333333,2.6666666666666665,2.6666666666666665,2.2222222222222223
CZE,20300069,20300,CZE29,0,1,264,64,200,11.7333,22.5,1.2,1.2,1,1.25,3,32.96153846153846,583.0146423076923,598.487126923077,573.7765653846154,3.051282051282051,2.6923076923076925,2.717948717948718
CZE,20300070,20300,CZE29,1,1,401,150,251,11.6232,34.5,1.4,2.2,2.75,1,2.0952380952380953,34.523809523809526,568.3024238095238,589.8291,571.9257476190476,3.0317460317460316,2.682539682539683,2.5873015873015874
CZE,20300071,20300,CZE29,0,1,343,110,233,11.4333,30,1.8,1.8,1,2,2,32.92307692307692,531.8584076923077,537.1960384615385,520.6193307692308,3,2.871794871794872,2.717948717948718
CZE,20300072,20300,CZE24,1,1,778,325,453,8.1042,96,2,2.4,3.5,2.25,2.4324324324324325,33.2972972972973,638.5380540540541,612.9841675675676,610.3586162162162,2.765765765765766,3.045045045045045,2.7837837837837838
CZE,20300073,20300,CZE30,1,1,325,31,294,9.2857,35,1.6,1.8,2.5,1.5,2.08,31.56,489.475924,482.836376,458.341012,2.586666666666667,2.586666666666667,2.3333333333333335
CZE,20300074,20300,CZE31,0,1,400,300,100,NA,NA,2.4,2.4,2,3,2.8,22.2,450.01276,352.45988,406.00768,2.7333333333333334,2.533333333333333,2.466666666666667
CZE,20300075,20300,CZE10,0,1,207,105,102,11.8286,17.5,1.8,1.6,2,3,2.25,32.75,493.861775,495.35455,506.232275,2.75,3.0833333333333335,2.9166666666666665
CZE,20300076,20300,CZE21,1,1,622,265,357,11.3091,55,2.2,2.2,2.25,2,2.375,33.0625,640.282625,625.060184375,629.1403625,2.6666666666666665,2.9375,2.7708333333333335
CZE,20300077,20300,CZE17,1,1,717,235,482,11.0308,65,1,1,1,1,2.875,33.09375,586.6345125,608.5513125,579.936484375,2.9270833333333335,2.90625,2.6979166666666665
CZE,20300078,20300,CZE14,0,3,396,206,190,16.1633,24.5,1.8,1.6,1.5,1.25,1.5454545454545454,31.818181818181817,539.8402181818182,550.5272272727273,517.5427909090909,2.6666666666666665,2.909090909090909,2.3636363636363638
CZE,20300079,20300,CZE06,0,1,732,371,361,16.8276,43.5,2.4,2.6,1.5,2.25,2.04,30.52,466.44056,480.728732,473.6643,2.72,2.5866666666666664,2.36
CZE,20300080,20300,CZE28,1,1,399,399,NA,13.082,30.5,1.6,2,1.5,1.5,2.4,34.9,588.58718,591.403575,572.378395,2.5500000000000003,2.7666666666666666,2.25
CZE,20300081,20300,CZE06,1,3,470,253,217,100,4.5,2,3,2,2.75,1.9333333333333333,31.733333333333334,455.4755,451.3650866666667,451.7312133333333,2.8444444444444446,2.8666666666666667,2.466666666666667
CZE,20300082,20300,CZE15,1,1,375,194,181,11.5385,32.5,1,1.4,2.5,2.5,1.9545454545454546,33.22727272727273,675.76735,664.2185636363636,661.3145181818182,2.621212121212121,2.621212121212121,3.287878787878788
CZE,20300083,20300,CZE30,0,2,399,287,112,9.975,40,2.6,2.2,1.75,2.5,2.6666666666666665,35.77777777777778,488.63134444444444,498.80185555555556,481.8999333333333,3.2962962962962963,2.925925925925926,2.4814814814814814
CZE,20300084,20300,CZE31,0,1,435,354,81,16.7308,26,2.4,2,2.25,2.25,2,35.1,384.98142,383.07738,388.01266,2.7333333333333334,2.5,2.533333333333333
CZE,20300085,20300,CZE09,0,2,677,338,339,13.9588,48.5,1.8,2,1.5,2,1.7692307692307692,31.846153846153847,497.2372423076923,489.1489423076923,488.70895384615386,2.6153846153846154,2.551282051282051,2.5256410256410255
CZE,20300086,20300,CZE12,0,3,158,81,77,13.7391,11.5,2.2,2,1.75,1.25,2.2857142857142856,24.571428571428573,499.2605142857143,479.36161428571427,489.23105714285714,2.9523809523809526,3.1904761904761907,2.761904761904762
CZE,20300087,20300,CZE30,1,1,93,25,68,9.7895,9.5,2,2,2,1.5,2.5,28.25,432.24275,453.047375,419.157375,2.5,2.375,2.0833333333333335
CZE,20300088,20300,CZE01,1,1,526,275,251,14.8169,35.5,1.6,2.2,1.25,2,2.2222222222222223,28.5,484.03655555555554,479.0664611111111,475.88367222222223,2.7962962962962963,2.740740740740741,2.5925925925925926
CZE,20300089,20300,CZE13,0,1,491,237,254,15.8387,31,1.8,2,2,2.5,2.176470588235294,26.058823529411764,477.6579588235294,454.39359411764707,480.33510588235293,2.549019607843137,2.1372549019607843,2.549019607843137
CZE,20300090,20300,CZE30,1,1,827,782,45,13.232,62.5,1.4,2,2.5,1.5,2.475,33,596.8571625,549.4755475,589.06957,2.65,2.6,2.8833333333333333
CZE,20300091,20300,CZE25,1,1,450,200,250,11.6883,38.5,2.2,2.6,1.75,2.25,2.4,32.8,632.995885,623.78287,617.843905,2.4833333333333334,2.9,2.466666666666667
CZE,20300092,20300,CZE04,0,1,NA,NA,NA,NA,NA,1.6,1.6,1.75,3,2,29.5,584.08125,550.0998,571.4698000000001,3,2.3333333333333335,3
CZE,20300093,20300,CZE31,1,1,588,510,78,15.8919,37,2,1.8,1.25,1.75,1.9,31.75,415.8478,404.17447500000003,428.487545,2.5833333333333335,2.533333333333333,2.3666666666666667
CZE,20300094,20300,CZE30,1,2,431,420,11,9.3696,46,2.4,2.4,2,3.25,2.16,32.76,583.1322720000001,527.6436199999999,563.172996,2.506666666666667,2.56,2.7733333333333334
CZE,20300095,20300,CZE10,0,2,503,255,248,16.4918,30.5,2.2,2.8,2,2.25,1.5238095238095237,31.952380952380953,462.1642857142857,454.5630904761905,461.76791904761905,2.8095238095238093,2.888888888888889,2.5873015873015874
CZE,20300096,20300,CZE14,0,3,373,205,168,14.6275,25.5,1.8,2.2,2,2,2.4,28.533333333333335,476.72694,458.24278,476.60006,2.6666666666666665,2.6222222222222222,2.2444444444444445
CZE,20300097,20300,CZE29,1,1,647,187,460,11.8716,54.5,1.2,2,1.5,2,2.2857142857142856,32.23809523809524,613.2209190476191,597.2741952380952,595.2651666666667,2.8412698412698414,2.682539682539683,2.619047619047619
CZE,20300098,20300,CZE14,1,1,602,312,290,12.6737,47.5,2.2,1.8,1.25,1.75,1.6666666666666667,26.5,488.6938666666667,480.4841666666667,492.47856666666667,2.3333333333333335,2.4444444444444446,2.611111111111111
CZE,20300099,20300,CZE30,1,1,243,45,198,7.9672,30.5,1.8,1.2,1.25,1.75,2.25,24.75,475.678125,481.9583,462.854225,2.4166666666666665,2.416666666666667,2.3333333333333335
CZE,20300100,20300,CZE07,1,3,782,416,366,15.0385,52,2,2.6,2,2.75,2.24,28.92,498.153252,501.885224,490.304092,2.2933333333333334,2.7466666666666666,2.68
CZE,20300101,20300,CZE05,0,1,117,60,57,10.1739,11.5,1.2,1.2,1.25,2.5,1.6666666666666667,28.333333333333332,510.97315,494.0423333333333,501.05723333333333,2.2777777777777777,2.611111111111111,2.7222222222222223
CZE,20300102,20300,CZE23,0,1,310,144,166,11.6981,26.5,2,2.4,1,3.25,2.25,31,624.67755,608.57934375,603.5023,2.5833333333333335,2.9375,2.8541666666666665
CZE,20300103,20300,CZE01,1,1,761,403,358,16.7253,45.5,2.2,2.2,1.25,1.75,2.357142857142857,26.571428571428573,459.6497857142857,464.3853642857143,471.6884928571429,2.5,2.642857142857143,2.5714285714285716
CZE,20300104,20300,CZE18,1,1,687,338,349,13.2115,52,2,3,1.5,2,2.4210526315789473,34.44736842105263,619.7956315789473,619.8045894736842,616.5033078947368,3.0350877192982457,2.8771929824561404,2.7894736842105265
CZE,20300105,20300,CZE05,0,1,142,83,59,10.1429,14,2,2.4,2,2,2,27.25,416.24225,433.486525,421.435,2.9166666666666665,3,2.5833333333333335
CZE,20300106,20300,CZE13,0,3,536,284,252,16.4923,32.5,1.6,2.2,2,1,1.9333333333333333,29.133333333333333,470.80302,466.0020666666667,469.83341333333334,2.533333333333333,2.466666666666667,2.488888888888889
CZE,20300107,20300,CZE31,1,3,828,98,730,11.04,75,2.4,1.8,2.25,2,2.1875,29,422.65344375,419.71210625,399.96461875,2.375,2.4583333333333335,2.375
CZE,20300108,20300,CZE30,1,1,355,346,9,9.4667,37.5,1.4,1.6,2.75,1.5,2.066666666666667,31.533333333333335,588.9201566666667,539.65313,589.4158199999999,2.5444444444444443,2.6,2.611111111111111
