CNT,CNTSCHID,REGION,STRATUM,SC001Q01TA,SC011Q01TA,SCHSIZE,SC002Q01TA,SC002Q02TA,STRATIO,TOTAT,student_behavior_issue_mean,teacher_behavior_issue_mean,resources_issue_mean,staff_issues_mean,SC061Q01TA,SC061Q02TA,SC061Q03TA,SC061Q04TA,SC061Q05TA,SC061Q06TA,SC061Q07TA,SC061Q08TA,SC061Q09TA,SC061Q10TA,SC017Q01NA,SC017Q02NA,SC017Q03NA,SC017Q04NA,SC017Q05NA,SC017Q06NA,SC017Q07NA,SC017Q08NA
POL,61600037,61600,POL02,3,1,787,264,523,6.3213,124.5,2.4,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
POL,61600038,61600,POL04,3,1,215,135,80,5.3086,40.5,2.6,1.4,2,1.25,3,3,2,3,2,2,1,1,1,2,2,1,1,1,3,2,1,2
POL,61600039,61600,POL02,3,1,136,76,60,13.6,10,2.2,2.2,1,2,3,3,2,1,2,2,3,3,2,1,3,3,1,1,1,1,1,1
POL,61600040,61600,POL03,4,1,662,310,352,9.1944,72,2.2,2.4,2.5,1.75,3,3,2,2,1,3,2,3,2,2,3,2,1,1,2,2,3,3
POL,61600041,61600,POL04,3,1,90,66,24,7.8261,11.5,1.6,1,1.25,1.5,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1
POL,61600042,61600,POL02,2,1,405,136,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POL,61600043,61600,POL03,3,1,1081,981,100,12.7176,85,3,3,3.25,1.75,3,3,3,3,3,3,3,3,3,3,4,1,1,1,4,3,3,3
POL,61600044,61600,POL02,2,1,288,94,194,11.0769,26,2.4,1,1,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
POL,61600045,61600,POL02,3,2,777,343,434,13.6316,57,2.6,2.2,2,1.75,3,3,3,2,2,2,2,2,2,3,3,2,1,1,3,3,1,1
POL,61600046,61600,POL03,3,1,835,612,223,12.1898,68.5,2,1.4,2.5,2.5,2,2,2,2,2,2,2,1,1,1,4,4,1,1,2,2,3,3
POL,61600047,61600,POL03,3,3,185,85,100,8.0435,23,1.6,2,2.5,2.25,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,3,3
POL,61600048,61600,POL03,3,1,648,336,312,7.2,90,2.4,1,1.5,2,3,3,3,2,1,1,1,1,1,1,3,3,1,1,3,1,1,1
POL,61600049,61600,POL04,3,3,694,459,235,11.7627,59,2,1.2,1.75,1.75,2,2,2,2,2,1,2,1,1,1,3,2,1,1,2,1,2,2
POL,61600050,61600,POL02,1,1,73,25,48,2.3548,31,2.4,1.6,1.5,2,3,3,2,2,2,2,1,2,2,1,3,2,1,2,2,2,1,1
